step_id_,used_rsf,max_rsf,win
1648_81,1.8439024683043517,1.8439024683043517,1
1648_82,1.1786380350793435,1.8674238980733882,0
1648_83,1.108595442511897,1.7528757021599075,0
1648_9,1.7584078190269792,1.775600150290899,0
1649_1,0.7420030869252651,0.812285945915807,0
1649_10,0.6980859600134935,0.747028121041577,0
1649_11,0.6527437242907972,0.8961300197530638,0
1649_12,0.7206214139824921,1.4001350218078936,0
1649_13,0.7266976067713227,0.8608221151690927,0
1649_14,0.704360944190322,0.7744783591264789,0
1649_2,0.7245141811012207,1.0415530032616238,0
1649_3,0.7424096647624594,0.8671513556521242,0
1649_4,0.7420030869252651,0.77236243394377,0
1649_5,0.6938605763358767,1.38548573737671,0
1649_6,0.709244916826373,1.4091894117791006,0
1649_7,0.7043876712342084,1.133917949995935,0
1649_8,0.7038389675018764,0.7157389055270372,0
1649_9,0.6988456598099978,0.7044051002965024,0
164_1,1.0514780353854989,1.0766327199356414,0
164_10,1.1496894264101065,1.2207721263351952,0
164_11,1.1510568548725755,1.691070433512872,0
164_12,1.1584872390187264,1.169919061125705,0
164_13,1.0783514190179093,1.1737747081476857,0
164_14,1.0733916613526666,1.1229389468180269,0
164_15,1.0035412418389977,1.130892191072634,0
164_16,1.009768917918616,1.115579174464027,0
164_17,0.9429345036428434,1.0115517035862858,0
164_18,1.0486072647448261,1.0486072647448261,1
164_19,1.01533688074869,1.241295957118909,0
164_2,1.064544521742023,1.127766325926072,0
164_20,1.4349261014615948,1.4349261014615948,1
164_21,1.313147794018041,1.443081337065839,0
164_3,1.0749338493043739,1.119020544502926,0
164_4,1.1132652402614407,1.1132652402614407,1
164_5,1.1123494243756515,1.2755195591208222,0
164_6,1.1402902655003089,1.1583553673620783,0
164_7,1.1682888512442795,1.1909961414115613,0
164_8,1.1772816513683872,1.2569338708258981,0
164_9,1.156925883508563,1.2698921844870938,0
1650_1,0.7238764144160652,1.0679676471136723,0
1650_2,0.7224980254589815,0.7787873500468117,0
1650_3,0.725166546474587,0.8731808987518104,0
1650_4,0.7482274898309919,0.805995906819515,0
1650_5,0.7795796063854793,0.7795796063854793,1
1651_1,0.8274401696227448,1.380277397439067,0
1651_10,0.9771726540389103,1.1386285078166785,0
1651_11,0.9359543486474606,0.9825133452963409,0
1651_12,0.8653025618580806,1.1145656263781187,0
1651_13,0.7154255146879577,1.0812863185316794,0
1651_14,0.8660713807235737,0.8660713807235737,1
1651_15,0.7489129915383809,0.8735277398724464,0
1651_16,0.8706470330335699,0.88629878890802,0
1651_17,0.7962695563814289,0.8723531023243033,0
1651_18,NA,0.8937429596587404,NA
1651_19,NA,1.1141409638542235,NA
1651_2,0.8523038325341765,1.2091296914368614,0
1651_20,NA,0.6762355300582334,NA
1651_21,NA,0.8290137530613967,NA
1651_22,0.7288146879072824,0.7698527565649234,0
1651_23,0.7866979538115904,0.7866979538115904,1
1651_24,NA,0.7881636006578425,NA
1651_25,0.3917846712069372,0.9768396476271151,0
1651_26,0.38245249462163905,0.392749464099009,0
1651_27,0.3893488892334327,0.39213811924410613,0
1651_28,0.308094437026928,0.41792054212122365,0
1651_29,0.37074384814618627,0.37074384814618627,1
1651_3,0.9140586203826224,1.4196047958660998,0
1651_30,0.30179221056176514,0.5548746810593149,0
1651_31,0.3007873157056621,0.3931965975125899,0
1651_4,0.8679804990984081,1.168905484240723,0
1651_5,0.8767024097614914,1.0880204516358787,0
1651_6,0.7931343344032902,1.410497251424888,0
1651_7,0.7583906652920366,0.9646370711495499,0
1651_8,0.7334103341585624,1.467737079905159,0
1651_9,0.8498871449549701,1.1995028156271357,0
1652_1,0.3049768243887678,0.3388093970154183,0
1652_2,0.3067748832549978,0.41389583548061726,0
1652_3,0.37155031304103575,0.4083780768851575,0
1652_4,0.4325178971013608,0.4325178971013608,1
1652_5,0.36405748627439305,0.43487223865203795,0
1652_6,0.362694043517375,0.37556880430623485,0
1652_7,0.37833626293239114,0.385776613314713,0
1652_8,0.34144988030518303,0.532266062199378,0
1652_9,0.34076171444639947,0.39666197952676197,0
1653_1,0.366788010287992,0.4162684061524949,0
1653_10,0.4129474463229327,0.4129474463229327,1
1653_11,0.4685214298824287,0.5157433748630035,0
1653_12,0.43232796487553854,0.5075211801513024,0
1653_13,0.39464439405662055,0.44363078986075394,0
1653_14,0.38826945875662383,0.40928145416454065,0
1653_15,0.38416039646696415,0.39514475404510896,0
1653_16,0.3625171751201253,0.4135994539692086,0
1653_17,0.30079367519708694,0.4042801477524693,0
1653_18,0.2890471215563613,0.3887465447156031,0
1653_19,0.28618272085054314,0.3026481202941401,0
1653_2,0.38948255675525867,0.5643816777610592,0
1653_20,0.22224620712656243,0.3153367233252541,0
1653_21,0.2535975667003921,0.30279928209274576,0
1653_22,0.2987031397984132,0.2987031397984132,1
1653_23,0.5032196125483143,0.5343873945142933,0
1653_24,0.43186532234281066,0.5082710122716264,0
1653_25,0.3547107504770052,0.43206733496466676,0
1653_26,0.4833119769873448,0.4833119769873448,1
1653_27,0.37400389343542356,0.4833457861533613,0
1653_28,0.3707077432653233,0.6832148710827909,0
1653_29,0.8883870524571952,0.8883870524571952,1
1653_3,0.2876538874542929,0.4474732984958672,0
1653_30,0.9316803708146315,0.9633957348409529,0
1653_31,0.9683756532629935,0.9683756532629935,1
1653_32,0.9187615162816684,0.9698042018807242,0
1653_33,0.9647472396843655,0.9647472396843655,1
1653_34,0.9861510071969097,0.9910027155165341,0
1653_35,0.9090163523433152,0.986151007199145,0
1653_36,0.9392290216010543,0.9916490377721701,0
1653_37,1.0094716554086018,1.0094716554086018,1
1653_38,1.0372153644091755,1.039249064172271,0
1653_39,0.9742133992486616,1.0382628891043082,0
1653_4,0.25944644724096977,0.4704656821289074,0
1653_40,0.9422573256266172,1.0642399225169614,0
1653_41,0.8970559688048992,1.3649357597581742,0
1653_42,1.0038327661824014,1.1558284772482854,0
1653_5,0.34023477472042807,0.36308516478569225,0
1653_6,0.35764877315736576,0.4708098260467796,0
1653_7,0.35301130293601873,0.39227699943466415,0
1653_8,0.3370623077869816,0.3599576848453339,0
1653_9,0.38460152688555355,0.3955228407988571,0
1654_1,0.9945814392964728,1.1567294493417812,0
1654_10,0.7307488613350097,0.9381641538158185,0
1654_11,0.7228842499863485,0.9301692078808006,0
1654_2,0.9539838738386797,1.2371038051151055,0
1654_3,0.8378275768725131,1.0553377008195226,0
1654_4,0.8126928559136892,0.9295799895892186,0
1654_5,0.752482976205368,0.8294430781221371,0
1654_6,0.751040710382881,0.9818006483206737,0
1654_7,0.7518405371300092,0.8454540340935687,0
1654_8,0.7426916356373973,0.8394752665495135,0
1654_9,0.7458186159382983,0.9488442757062906,0
1655_1,0.737391886654504,0.8103147848744161,0
1655_10,1.5606004875352204,1.7030628645893713,0
1655_11,1.0806034079164595,1.7140656227211841,0
1655_12,1.3512527648241859,1.4662769273909744,0
1655_13,0.9857746437059369,1.3686591350387631,0
1655_14,1.0540584057366265,1.5192134332942544,0
1655_15,1.0814026389280973,1.2314062620051376,0
1655_16,1.1855804616729375,1.2323432754224783,0
1655_17,1.1967685307089302,1.5983656457780322,0
1655_18,1.1753187177661293,1.461979782838811,0
1655_19,1.0911069928198156,1.23974445435371,0
1655_2,0.7351673920111247,0.7408621778792778,0
1655_20,1.061693268805598,1.2741586871736181,0
1655_21,1.1065637560362178,1.2635539775459137,0
1655_22,1.1437824407132466,1.1501118540205,0
1655_23,1.098555010245428,1.1479010485391208,0
1655_24,1.042169301264839,1.1621998031614276,0
1655_25,1.0124916170559466,1.1722332031347378,0
1655_26,1.1293212686431684,1.1293212686431684,1
1655_27,1.0747111842266273,1.1565792751492403,0
1655_28,1.057736366962995,1.0904764256166464,0
1655_29,1.1138377989920207,1.2486963598554748,0
1655_3,0.7541176691478775,0.8469780822745525,0
1655_30,1.1271023443549575,1.313941083875801,0
1655_31,1.1546680349247074,1.1665573414395516,0
1655_32,1.1750818983012212,1.1750818983012212,1
1655_33,1.0229152797085852,1.2362830234115971,0
1655_34,1.0116600326021128,1.1747702654988033,0
1655_35,0.983724312284734,1.0662993233760878,0
1655_36,0.8530111162501319,1.2993317414822207,0
1655_37,1.0062339954868484,1.0062339954868484,1
1655_38,0.8802058905894253,1.1618128872160365,0
1655_39,1.2950951203529917,1.2950951203529917,1
1655_4,0.82186436073105,0.9458610475013924,0
1655_40,1.1870282607210292,1.4420620010139142,0
1655_41,1.1234247854089234,1.4050349914273004,0
1655_42,1.0768047867062445,1.1501249034847054,0
1655_43,1.0380856180860036,1.0774444750463255,0
1655_44,1.040314542130819,1.0866227105579505,0
1655_45,1.1185759675705382,1.13932749313129,0
1655_46,1.2453398534736215,1.405548884880797,0
1655_47,1.1601719824751497,1.3817024495926802,0
1655_48,0.9884856335742714,1.1955308765173112,0
1655_49,1.4908266294765171,1.4908266294765171,1
1655_5,0.8137749464779049,0.8401350508631993,0
1655_50,1.3727883344517127,1.4945976913415626,0
1655_51,1.3639632374513169,1.3727886400240816,0
1655_52,1.3610249210847232,1.3673667045497835,0
1655_53,1.3840961733381747,1.6969304353075665,0
1655_54,1.34402130986036,1.443844239364177,0
1655_55,1.5319502197366897,1.5319502197366897,1
1655_56,1.3344166752459126,1.5346728756881536,0
1655_57,1.2859837029705063,1.347917847667639,0
1655_58,1.1540952336085013,1.3246791224706778,0
1655_59,0.938847888380388,1.229967598809267,0
1655_6,0.8903139639520867,0.9335209688657209,0
1655_60,0.93637589267048,1.1399987070677264,0
1655_61,0.8840983548608874,1.4588400869010194,0
1655_62,1.0314310316800825,1.3419065051104366,0
1655_63,1.0482431014610682,1.2057037494858145,0
1655_64,1.0466974484734133,1.1362071889475962,0
1655_65,0.9732723260328008,1.3758634839341621,0
1655_66,0.9453050738109993,1.2361267958975972,0
1655_67,0.9816464039790797,1.3199668731797163,0
1655_68,1.6046397177720402,1.6046397177720402,1
1655_69,1.089028422000432,1.6055545033196048,0
1655_7,0.8965702110315238,1.0156014814813465,0
1655_8,1.1531632292029514,1.1531632292029514,1
1655_9,1.1343323747840688,1.1554993565244098,0
1658_1,1.2514017510485735,1.4333768121498704,0
1658_10,1.129535510071347,1.3287160727935423,0
1658_11,1.2910577026065064,1.2910577026065064,1
1658_12,1.2629992787684141,1.2939232749309522,0
1658_13,1.329314616219248,1.3650357217069267,0
1658_14,1.3319411640516772,1.4712273400446583,0
1658_15,1.2830452003351436,1.4058600222684228,0
1658_16,1.2888758196361816,1.5035880544016984,0
1658_17,1.2096118272613725,1.5372160658455232,0
1658_18,1.6619785181322335,1.6619785181322335,1
1658_19,1.7127768824953702,1.7127768824953702,1
1658_2,1.1821225169491112,1.5827587004912953,0
1658_20,1.4289649922725263,1.7163679947723467,0
1658_21,0.8623767213896124,1.4429074056584459,0
1658_22,1.5116793776673825,1.5116793776673825,1
1658_3,1.0305484811661534,1.1825262577141031,0
1658_4,1.2532292154640268,1.2532292154640268,1
1658_5,1.308793915006418,1.308793915006418,1
1658_6,1.2681667331892426,1.3407817586789161,0
1658_7,1.3083476310201037,1.3083476310201037,1
1658_8,1.3750190986922928,1.3750190986922928,1
1658_9,1.280379261321058,1.3750554854220518,0
1659_1,1.5056561154348655,1.60885467521008,0
1659_2,1.5474068556550247,1.7177716101551879,0
1659_3,1.6442406562362144,1.6442406562362144,1
1659_4,1.7900742818175457,1.7900742818175457,1
1659_5,1.7016553136558459,1.7903133851265813,0
1659_6,1.6637880254999096,1.7136088387366806,0
1659_7,1.603512193505325,1.7415443333522425,0
1659_8,1.6135394412299118,1.6507918701504034,0
165_1,1.2869615143187387,1.3787692250701191,0
165_10,1.2141429321844412,1.409150015746074,0
165_11,1.324313489532789,1.324313489532789,1
165_12,1.5138770039477238,1.5138770039477238,1
165_13,1.6131946505974668,1.6131946505974668,1
