cluster_id,collar_id,species,timestamp,lon,lat,geometry
1,353336355b308106,Loxodonta africana,NA,26.52639,-33.6362,NA
1,353336355b308106,Loxodonta africana,NA,26.59922,-33.59985,NA
1,353336355b308106,Loxodonta africana,NA,26.53627,-33.63945,NA
1,353336355b308106,Loxodonta africana,NA,26.57683,-33.58814,NA
1,353336355b308106,Loxodonta africana,NA,26.57353,-33.62192,NA
1,353336355b308106,Loxodonta africana,NA,26.55604,-33.62705,NA
1,353336355b308106,Loxodonta africana,NA,26.60544,-33.60859,NA
1,353336355b308106,Loxodonta africana,NA,26.55702,-33.61664,NA
1,353336355b308106,Loxodonta africana,NA,26.52603,-33.63517,NA
1,353336355b308106,Loxodonta africana,NA,26.58793,-33.60677,NA
1,353336355b308106,Loxodonta africana,NA,26.56811,-33.6228,NA
1,353336355b308106,Loxodonta africana,NA,26.50568,-33.62004,NA
1,353336355b308106,Loxodonta africana,NA,26.57847,-33.61689,NA
1,353336355b308106,Loxodonta africana,NA,26.55168,-33.61486,NA
1,353336355b308106,Loxodonta africana,NA,26.60944,-33.6131,NA
1,353336355b308106,Loxodonta africana,NA,26.57646,-33.61278,NA
1,353336355b308106,Loxodonta africana,NA,26.56833,-33.62576,NA
1,353336355b308106,Loxodonta africana,NA,26.57757,-33.57056,NA
1,353336355b308106,Loxodonta africana,NA,26.56633,-33.64035,NA
1,353336355b308106,Loxodonta africana,NA,26.53635,-33.63344,NA
1,353336355b308106,Loxodonta africana,NA,26.59717,-33.61426,NA
1,353336355b308106,Loxodonta africana,NA,26.53048,-33.62619,NA
1,353336355b308106,Loxodonta africana,NA,26.51025,-33.62981,NA
1,353336355b308106,Loxodonta africana,NA,26.60542,-33.60891,NA
1,353336355b308106,Loxodonta africana,NA,26.60546,-33.61166,NA
1,353336355b308106,Loxodonta africana,NA,26.56489,-33.63676,NA
1,353336355b308106,Loxodonta africana,NA,26.54701,-33.61878,NA
1,353336355b308106,Loxodonta africana,NA,26.50768,-33.64123,NA
1,353336355b308106,Loxodonta africana,NA,26.608,-33.60725,NA
1,353336355b308106,Loxodonta africana,NA,26.54441,-33.63816,NA
1,353336355b308106,Loxodonta africana,NA,26.50757,-33.64167,NA
1,353336355b308106,Loxodonta africana,NA,26.52311,-33.64205,NA
1,353336355b308106,Loxodonta africana,NA,26.55636,-33.62722,NA
1,353336355b308106,Loxodonta africana,NA,26.50201,-33.58879,NA
1,353336355b308106,Loxodonta africana,NA,26.59836,-33.59949,NA
1,353336355b308106,Loxodonta africana,NA,26.5472,-33.61905,NA
1,353336355b308106,Loxodonta africana,NA,26.51063,-33.63047,NA
1,353336355b308106,Loxodonta africana,NA,26.55684,-33.62013,NA
1,353336355b308106,Loxodonta africana,NA,26.56683,-33.57407,NA
1,353336355b308106,Loxodonta africana,NA,26.5581,-33.60257,NA
1,353336355b308106,Loxodonta africana,NA,26.50644,-33.59537,NA
1,353336355b308106,Loxodonta africana,NA,26.57781,-33.60757,NA
1,353336355b308106,Loxodonta africana,NA,26.56727,-33.63584,NA
1,353336355b308106,Loxodonta africana,NA,26.56382,-33.62224,NA
1,353336355b308106,Loxodonta africana,NA,26.6086,-33.61058,NA
1,353336355b308106,Loxodonta africana,NA,26.49901,-33.59247,NA
1,353336355b308106,Loxodonta africana,NA,26.58246,-33.61047,NA
1,353336355b308106,Loxodonta africana,NA,26.54389,-33.61977,NA
1,353336355b308106,Loxodonta africana,NA,26.56955,-33.62723,NA
1,353336355b308106,Loxodonta africana,NA,26.57945,-33.61271,NA
1,353336355b308106,Loxodonta africana,NA,26.55936,-33.6292,NA
1,353336355b308106,Loxodonta africana,NA,26.55669,-33.61286,NA
1,353336355b308106,Loxodonta africana,NA,26.51654,-33.59657,NA
1,353336355b308106,Loxodonta africana,NA,26.57776,-33.56957,NA
1,353336355b308106,Loxodonta africana,NA,26.52586,-33.64521,NA
1,353336355b308106,Loxodonta africana,NA,26.5701,-33.62214,NA
1,353336355b308106,Loxodonta africana,NA,26.55127,-33.63223,NA
1,353336355b308106,Loxodonta africana,NA,26.58612,-33.60513,NA
1,353336355b308106,Loxodonta africana,NA,26.51246,-33.6381,NA
1,353336355b308106,Loxodonta africana,NA,26.60477,-33.60751,NA
1,353336355b308106,Loxodonta africana,NA,26.56244,-33.6239,NA
1,353336355b308106,Loxodonta africana,NA,26.52193,-33.59559,NA
1,353336355b308106,Loxodonta africana,NA,26.49062,-33.63758,NA
1,353336355b308106,Loxodonta africana,NA,26.5522,-33.61544,NA
1,353336355b308106,Loxodonta africana,NA,26.59414,-33.60926,NA
1,353336355b308106,Loxodonta africana,NA,26.54748,-33.62037,NA
